"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.amazon.es/","text/html;charset=UTF-8","200","OK","Indexable","","Amazon.es: compra online de electrónica, libros, deporte, hogar, moda y mucho más.","82","763","Descubre y compra online: electrónica, moda, hogar, libros, deporte y mucho más a precios bajos en Amazon.es. Envío gratis con Amazon Prime.","140","926","Amazon, amazon.es, compras online, electrónica, música, libros, videojuegos,  CDs, DVD,  video, TV, ordenadores, software, móviles, juegos, muebles, juguetes, ropa, accesorios, moda, zapatos, joyas, relojes, productos de oficina, deporte, productos deportivos, bebés, salud, cuidado personal, hogar, cocina, jardín, herramientas, recambios, mascotas, informática, tienda online, envíos gratis, bricolaje, decoración, eBooks, aire libre, supermercado, belleza, jardinería, regalos, instrumentos musicales","503","","0","","0","Ofertas en Moda","15","Dispositivos Amazon","19","","","","https://www.amazon.es/","","","","","464358","976","1.385","0","","20","1","0.510","213","180","33","32","","","","","f1ea89ff1742a159cecb66965864d5d2","0.076","","","","https://www.amazon.es/"
"https://www.amazon.es/dp/B07ZZVWB4L/ref=gw_es_desk_mso_aucc_brw_q4","text/html","200","OK","Indexable","","Amazon.es","9","100","","0","0","","0","","0","","0","","0","","0","","","","","","","","","7130","57","5.359","1","","3","3","1.520","2","2","0","0","","","","","f161cbb5d2a6ee9bd08df5e56e8b3558","0.125","","","","https://www.amazon.es/dp/B07ZZVWB4L/ref=gw_es_desk_mso_aucc_brw_q4"
"https://www.amazon.es/gp/help/customer/display.html?ie=UTF8&nodeId=201239260&ref_=footer_vat","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Amazon.es Ayuda: IVA y facturas","31","300","","0","0","","0","IVA y facturas","14","","0","","0","","0","","","","https://www.amazon.es/gp/help/customer/display.html?nodeId=G7MYTK9H5NVW7QVW","","","","","226747","820","2.454","1","","101","100","50.760","88","81","32","31","","","","","6650e2c4e751b589d49c8928a37e4bd2","0.400","","","","https://www.amazon.es/gp/help/customer/display.html?ie=UTF8&nodeId=201239260&ref_=footer_vat"
"https://www.amazon.es/b/?node=9794181031&ref_=nav_cs_freeshipping","text/html;charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Envío gratis en Amazon.es","25","240","Benefíciate de envío gratis en todos los pedidos de productos vendidos o gestionados por Amazon a partir de 29€ o 19€ en libros","127","821","Envío gratis, Amazon.es","23","¿Cómo sé que un producto tiene envío GRATIS?","44","¿Cómo puedo elegir envío GRATIS en mi pedido?","45","","0","","0","","","","https://www.amazon.es/b?ie=UTF8&node=9794181031","","","","","210271","697","2.415","1","","110","109","55.330","76","74","32","31","","","","","a9d2587c5ffdbddfc1cfe8034112de28","0.234","","","","https://www.amazon.es/b/?node=9794181031&ref_=nav_cs_freeshipping"
"https://www.amazon.es/Casio-Analógico-Hombre-Cuarzo-EFV-550P-1AVUEF/dp/B07DX86QMY?pd_rd_w=dspza&pf_rd_p=d8c5a901-4ad7-4273-b837-806cda1741da&pf_rd_r=1TZ0WKKWQTXWS4GX0X50&pd_rd_r=7247f40c-3320-466e-aac3-e0989f34a486&pd_rd_wg=H3J2U","text/html","200","OK","Indexable","","Amazon.es","9","100","","0","0","","0","","0","","0","","0","","0","","","","","","","","","7414","57","5.154","1","","1","1","0.510","2","2","0","0","","","","","cfe0e1411b12fd22b9f132f89a55d03d","0.109","","","","https://www.amazon.es/Casio-Anal%C3%B3gico-Hombre-Cuarzo-EFV-550P-1AVUEF/dp/B07DX86QMY?pd_rd_w=dspza&pf_rd_p=d8c5a901-4ad7-4273-b837-806cda1741da&pf_rd_r=1TZ0WKKWQTXWS4GX0X50&pd_rd_r=7247f40c-3320-466e-aac3-e0989f34a486&pd_rd_wg=H3J2U"
"https://www.amazon.es/as-campus-challenge","text/html; charset=iso-8859-1","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","530","0","0.000","1","","3","3","1.520","0","0","0","0","","","","","","0.056","","https://www.amazon.es/gp/redirect.html?_encoding=UTF8&location=https%3A%2F%2Fwww.aboutamazon.es%2Fen-la-comunidad%2Fasi-es-como-easyval-gano-amazon-campus-challenge%3Futm_campaign%3Dcampus-challenge%26utm_medium%3Deditorial%26utm_source%3Dgateway&source=standards&token=764F9AA77BB3B5B1B178D986EFFE96C2ADC90B7A","HTTP Redirect","https://www.amazon.es/as-campus-challenge"
"https://www.amazon.es/gp/prime/ref=nav_tooltip_redirect/260-3695900-6142645","text/html; charset=UTF-8","302","MovedTemporarily","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","1","","1","1","0.510","0","0","0","0","","","","","","0.138","","https://www.amazon.es/amazonprime/260-3695900-6142645?_encoding=UTF8&ref_=nav_tooltip_redirect","HTTP Redirect","https://www.amazon.es/gp/prime/ref=nav_tooltip_redirect/260-3695900-6142645"
"https://www.amazon.es/bbb/tripleBspain","","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","20","0","0.000","1","","6","3","1.520","0","0","0","0","","","","","","0.114","","https://www.amazon.es/gp/promotion/A170NXDCL9GHHB","HTTP Redirect","https://www.amazon.es/bbb/tripleBspain"
"https://www.amazon.es/gp/help/customer/display.html?ie=UTF8&nodeId=201819410&ref_=footer_disposal","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Amazon.es Ayuda: Reciclaje de aparatos eléctricos o electrónicos","64","584","","0","0","","0","Reciclaje de aparatos eléctricos o electrónicos","47","","0","¿Qué es la directiva RAEE?","26","¿Por qué debería reciclar mis RAEE?","35","","","","https://www.amazon.es/gp/help/customer/display.html?nodeId=GZ8UKWT6JBYRDJJA","","","","","239456","2278","6.427","1","","101","100","50.760","77","70","37","36","","","","","6012953c1249359e9d370f0db521cdd1","0.230","","","","https://www.amazon.es/gp/help/customer/display.html?ie=UTF8&nodeId=201819410&ref_=footer_disposal"
"https://www.amazon.es/dp/B07FQ4XCR1/ref=gw_es_desk_mso_eink_jg_q4","text/html","200","OK","Indexable","","Amazon.es","9","100","","0","0","","0","","0","","0","","0","","0","","","","","","","","","7129","57","5.360","1","","3","3","1.520","2","2","0","0","","","","","fec7c8f1e5d46de13b7053983ca8049b","0.094","","","","https://www.amazon.es/dp/B07FQ4XCR1/ref=gw_es_desk_mso_eink_jg_q4"
